------------------------------------------------------------
 Ids vs Vds
------------------------------------------------------------
Vds (V) (#1), Ids (A) (#1)
                 7.8,         -1.33466e-18
                 7.9,         -1.33466e-18
                   8,         -1.33466e-18
                 8.1,         -1.33466e-18
                 8.2,         -1.33466e-18
                 8.3,         -1.33466e-18
                 8.4,         -1.33466e-18
                 8.5,         -1.33466e-18
                 8.6,         -1.33466e-18
                 8.7,         -1.33466e-18
                 8.8,         -1.33466e-18
                 8.9,         -1.33466e-18
                   9,         -1.33466e-18
                 9.1,         -1.33466e-18
                 9.2,         -1.33466e-18
                 9.3,         -1.33466e-18
                 9.4,         -1.33466e-18
                 9.5,         -1.33466e-18
                 9.6,         -1.33466e-18
                 9.7,         -1.33466e-18
                 9.8,         -1.33466e-18
                 9.9,         -1.33466e-18
                  10,         -1.33466e-18

------------------------------------------------------------
 Ids vs Vds
------------------------------------------------------------
Vds (V) (#5), Ids (A) (#5)
                   0,                    0
                 0.1,          2.45642e-10
                 0.2,          2.50777e-10
                 0.3,          2.50884e-10
                 0.4,          2.50886e-10
                 0.5,          2.50886e-10
                 0.6,          2.50886e-10
                 0.7,          2.50886e-10
                 0.8,          2.50886e-10
                 0.9,          2.50886e-10
                   1,          2.50886e-10
                 1.1,          2.50886e-10
                 1.2,          2.50886e-10
                 1.3,          2.50886e-10
                 1.4,          2.50886e-10
                 1.5,          2.50886e-10
                 1.6,          2.50886e-10
                 1.7,          2.50886e-10
                 1.8,          2.50886e-10
                 1.9,          2.50886e-10
                   2,          2.50886e-10
                 2.1,          2.50886e-10
                 2.2,          2.50886e-10
                 2.3,          2.50886e-10
                 2.4,          2.50886e-10
                 2.5,          2.50886e-10
                 2.6,          2.50886e-10
                 2.7,          2.50886e-10
                 2.8,          2.50886e-10
                 2.9,          2.50886e-10
                   3,          2.50886e-10
                 3.1,          2.50886e-10
                 3.2,          2.50886e-10
                 3.3,          2.50886e-10
                 3.4,          2.50886e-10
                 3.5,          2.50886e-10
                 3.6,          2.50886e-10
                 3.7,          2.50886e-10
                 3.8,          2.50886e-10
                 3.9,          2.50886e-10
                   4,          2.50886e-10
                 4.1,          2.50886e-10
                 4.2,          2.50886e-10
                 4.3,          2.50886e-10
                 4.4,          2.50886e-10
                 4.5,          2.50886e-10
                 4.6,          2.50886e-10
                 4.7,          2.50886e-10
                 4.8,          2.50886e-10
                 4.9,          2.50886e-10
                   5,          2.50886e-10
                 5.1,          2.50886e-10
                 5.2,          2.50886e-10
                 5.3,          2.50886e-10
                 5.4,          2.50886e-10
                 5.5,          2.50886e-10
                 5.6,          2.50886e-10
                 5.7,          2.50886e-10
                 5.8,          2.50886e-10
                 5.9,          2.50886e-10
                   6,          2.50886e-10
                 6.1,          2.50886e-10
                 6.2,          2.50886e-10
                 6.3,          2.50886e-10
                 6.4,          2.50886e-10
                 6.5,          2.50886e-10
                 6.6,          2.50886e-10
                 6.7,          2.50886e-10
                 6.8,          2.50886e-10
                 6.9,          2.50886e-10
                   7,          2.50886e-10
                 7.1,          2.50886e-10
                 7.2,          2.50886e-10
                 7.3,          2.50886e-10
                 7.4,          2.50886e-10
                 7.5,          2.50886e-10
                 7.6,          2.50886e-10
                 7.7,          2.50886e-10
                 7.8,          2.50886e-10
                 7.9,          2.50886e-10
                   8,          2.50886e-10
                 8.1,          2.50886e-10
                 8.2,          2.50886e-10
                 8.3,          2.50886e-10
                 8.4,          2.50886e-10
                 8.5,          2.50886e-10
                 8.6,          2.50886e-10
                 8.7,          2.50886e-10
                 8.8,          2.50886e-10
                 8.9,          2.50886e-10
                   9,          2.50886e-10
                 9.1,          2.50886e-10
                 9.2,          2.50886e-10
                 9.3,          2.50886e-10
                 9.4,          2.50886e-10
                 9.5,          2.50886e-10
                 9.6,          2.50886e-10
                 9.7,          2.50886e-10
